site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1015,2022,Q1,36,3,1,0,0,0,2,0
1015,2023,Q1,24,1,1,0,0,0,0,0
1015,2024,Q1,12,2,1,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1016,2013,Q1,144,1,0,1,0,0,0,0
1016,2014,Q1,132,1,0,0,0,0,1,0
1016,2015,Q1,120,6,0,2,0,1,3,0
1016,2016,Q1,108,1,0,0,0,0,1,0
1016,2017,Q1,96,3,1,0,0,0,2,0
1016,2019,Q1,72,4,2,1,1,0,0,0
1016,2021,Q1,48,2,1,0,0,0,1,0
1016,2024,Q1,12,2,1,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1017,2013,Q1,144,1,1,0,0,0,0,0
1017,2014,Q1,132,3,1,2,0,0,0,0
1017,2015,Q1,120,2,0,0,1,0,1,0
1017,2017,Q1,96,1,1,0,0,0,0,0
1017,2018,Q1,84,5,3,0,1,0,1,0
1017,2019,Q1,72,2,0,0,1,0,1,0
1017,2020,Q1,60,3,2,0,0,0,1,0
1017,2021,Q1,48,1,1,0,0,0,0,0
1017,2022,Q1,36,5,3,1,0,0,1,0
1017,2024,Q1,12,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1018,2013,Q1,144,2,0,1,1,0,0,0
1018,2015,Q1,120,1,0,0,0,0,1,0
1018,2018,Q1,84,2,0,1,0,0,1,0
1018,2019,Q1,72,3,2,0,0,0,1,0
1018,2020,Q1,60,3,1,1,0,0,1,0
1018,2021,Q1,48,3,2,0,0,0,1,0
1018,2022,Q1,36,1,1,0,0,0,0,0
1018,2023,Q1,24,2,0,0,0,0,2,0
1018,2024,Q1,12,2,1,0,0,0,1,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
1019,2020,Q1,60,2,0,0,1,0,1,0
1019,2021,Q1,48,1,0,0,1,0,0,0
site_id,Year,Quarter,Interval,Total Registered,Total Alive,Patient Died,Total Defaulted,Treatment Stopped,Patient transferred out,Unknown
