Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Namadidi Health Centre Zomba,81,1000,Pregnant (as of the last visit before end of quarter),,1.0,Q1 2025
Namadidi Health Centre Zomba,82,1000,Breastfeeding (as of the last visit before end of quarter),,4.0,Q1 2025
Namadidi Health Centre Zomba,83,1000,All others (not circled) (as of the last visit before end of quarter),,436.0,Q1 2025
Namadidi Health Centre Zomba,84,1000,TB not suspected (as of the last visit before end of quarter),,439.0,Q1 2025
Namadidi Health Centre Zomba,85,1000,TB suspected (as of the last visit before end of quarter),,1.0,Q1 2025
Namadidi Health Centre Zomba,88,1000,TB - Unknown (not circled) (as of the last visit before end of quarter),,1.0,Q1 2025
Namadidi Health Centre Zomba,89,1000,Side effects - None (as of the last visit before end of quarter),,429.0,Q1 2025
Namadidi Health Centre Zomba,91,1000,Side effects - Unknown (not circled) (as of the last visit before end of quarter),,12.0,Q1 2025
Namadidi Health Centre Zomba,92,1000,Adherence:  0 - 3 doses missed (as of the last visit before end of quarter),,170.0,Q1 2025
Namadidi Health Centre Zomba,93,1000,Adherence:  4+ doses missed (as of the last visit before end of quarter),,259.0,Q1 2025
Namadidi Health Centre Zomba,94,1000,Adherence - Unknown (not circled) (as of the last visit before end of quarter),,12.0,Q1 2025
Facility Name,indicator_number,site_id,Indicator Name,newly_reg_in_quarter,cumulative_ever_reg,reporting_period
Liwonde Medical Clinic,25,1003,total_registered,10.0,909.0,Q1 2025
Liwonde Medical Clinic,26,1003,FT_patients_initiated - Male,4.0,382.0,Q1 2025
Liwonde Medical Clinic,27,1003,FT_patients_initiated - Female Non-pregnant,3.0,363.0,Q1 2025
Liwonde Medical Clinic,28,1003,FT_patients_initiated - Female Pregnant,0.0,5.0,Q1 2025
Liwonde Medical Clinic,31,1003,Re_patients_reinitiated_on_ART,3.0,20.0,Q1 2025
Liwonde Medical Clinic,32,1003,TI_patients_transfered_in_on_ART,0.0,139.0,Q1 2025
Liwonde Medical Clinic,33,1003,Male (all ages),4.0,444.0,Q1 2025
Liwonde Medical Clinic,34,1003,Non-pregnant Females (all ages),6.0,439.0,Q1 2025
Liwonde Medical Clinic,35,1003,Pregnant Females (all ages),0.0,26.0,Q1 2025
Liwonde Medical Clinic,333435,1003,Without gender (all ages),0.0,0.0,Q1 2025
