2025-06-27T22:11:12.216913671Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.216 [info] execute "CREATE EXTENSION IF NOT EXISTS citext"
2025-06-27T22:11:12.225897234Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.225 [info] create table users
2025-06-27T22:11:12.230481194Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.230 [info] create index users_email_index
2025-06-27T22:11:12.232395460Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.232 [info] == Migrated 20220405135153 in 0.0s
2025-06-27T22:11:12.235812661Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.235 [info] == Running 20220406120829 Lightning.Repo.Migrations.CreateUsersAuthTables.change/0 forward
2025-06-27T22:11:12.236007644Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.235 [info] create table users_tokens
2025-06-27T22:11:12.240215156Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.240 [info] create index users_tokens_user_id_index
2025-06-27T22:11:12.242167118Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.242 [info] create index users_tokens_context_token_index
2025-06-27T22:11:12.244450620Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.244 [info] == Migrated 20220406120829 in 0.0s
2025-06-27T22:11:12.246284395Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.246 [info] == Running 20220407083037 Lightning.Repo.Migrations.AddRoleToUsers.change/0 forward
2025-06-27T22:11:12.246338921Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.246 [info] alter table users
2025-06-27T22:11:12.246662858Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.246 [info] == Migrated 20220407083037 in 0.0s
2025-06-27T22:11:12.248074830Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.247 [info] == Running 20220421112130 Lightning.Repo.Migrations.AddRunToInvocationDataclip.change/0 forward
2025-06-27T22:11:12.248127852Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.248 [info] alter table dataclips
2025-06-27T22:11:12.248929284Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.248 [info] == Migrated 20220421112130 in 0.0s
2025-06-27T22:11:12.250167946Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.250 [info] == Running 20220422070428 Lightning.Repo.Migrations.AddUpstreamJobToTriggers.change/0 forward
2025-06-27T22:11:12.250288236Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.250 [info] alter table triggers
2025-06-27T22:11:12.251105127Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.250 [info] create index triggers_upstream_job_id_index
2025-06-27T22:11:12.253430660Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.253 [info] == Migrated 20220422070428 in 0.0s
2025-06-27T22:11:12.255082096Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.254 [info] == Running 20220425081355 Lightning.Repo.Migrations.AddDisabledFieldToUsers.change/0 forward
2025-06-27T22:11:12.255156730Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.255 [info] alter table users
2025-06-27T22:11:12.255579066Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.255 [info] == Migrated 20220425081355 in 0.0s
2025-06-27T22:11:12.256955555Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.256 [info] == Running 20220427134649 Lightning.Repo.Migrations.AddSourceIdToEvents.change/0 forward
2025-06-27T22:11:12.257092303Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.256 [info] alter table invocation_events
2025-06-27T22:11:12.257884635Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.257 [info] create index invocation_events_source_id_index
2025-06-27T22:11:12.260010269Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.259 [info] == Migrated 20220427134649 in 0.0s
2025-06-27T22:11:12.261457756Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.261 [info] == Running 20220511131955 Lightning.Repo.Migrations.AddCronFieldToTrigger.change/0 forward
2025-06-27T22:11:12.261535749Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.261 [info] alter table triggers
2025-06-27T22:11:12.262118116Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.261 [info] == Migrated 20220511131955 in 0.0s
2025-06-27T22:11:12.263451227Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.263 [info] == Running 20220516085949 Lightning.Repo.Migrations.CreateProjects.change/0 forward
2025-06-27T22:11:12.263531890Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.263 [info] create table projects
2025-06-27T22:11:12.265605774Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.265 [info] == Migrated 20220516085949 in 0.0s
2025-06-27T22:11:12.266790341Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.266 [info] == Running 20220517071211 Lightning.Repo.Migrations.CreateProjectUsers.change/0 forward
2025-06-27T22:11:12.267010175Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.266 [info] create table project_users
2025-06-27T22:11:12.269601531Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.269 [info] create index project_users_user_id_index
2025-06-27T22:11:12.272099443Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.271 [info] create index project_users_project_id_index
2025-06-27T22:11:12.274064904Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.273 [info] create index project_users_project_id_user_id_index
2025-06-27T22:11:12.275981627Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.275 [info] == Migrated 20220517071211 in 0.0s
2025-06-27T22:11:12.277578858Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.277 [info] == Running 20220518153937 Lightning.Repo.Migrations.AddUserIdToCredentials.change/0 forward
2025-06-27T22:11:12.278369702Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.277 [info] alter table credentials
2025-06-27T22:11:12.278739161Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.278 [info] create index credentials_user_id_index
2025-06-27T22:11:12.280790189Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.280 [info] == Migrated 20220518153937 in 0.0s
2025-06-27T22:11:12.282161864Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.282 [info] == Running 20220523070944 Lightning.Repo.Migrations.AddProjectIdToJobs.change/0 forward
2025-06-27T22:11:12.282316045Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.282 [info] alter table jobs
2025-06-27T22:11:12.283084932Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.282 [info] create index jobs_project_id_index
2025-06-27T22:11:12.284886502Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.284 [info] == Migrated 20220523070944 in 0.0s
2025-06-27T22:11:12.286275556Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.286 [info] == Running 20220524130458 Lightning.Repo.Migrations.AddProjectIdToEvents.change/0 forward
2025-06-27T22:11:12.286359055Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.286 [info] alter table invocation_events
2025-06-27T22:11:12.287491850Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.287 [info] create index invocation_events_project_id_index
2025-06-27T22:11:12.289647095Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.289 [info] == Migrated 20220524130458 in 0.0s
2025-06-27T22:11:12.291223190Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.291 [info] == Running 20220525092539 Lightning.Repo.Migrations.AddProjectCredentialsTable.change/0 forward
2025-06-27T22:11:12.291404368Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.291 [info] create table project_credentials
2025-06-27T22:11:12.294248416Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.294 [info] alter table jobs
2025-06-27T22:11:12.295317114Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.295 [info] create index project_credentials_credential_id_index
2025-06-27T22:11:12.297042127Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.296 [info] create index project_credentials_project_id_index
2025-06-27T22:11:12.298890696Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.298 [info] create index project_credentials_project_id_credential_id_index
2025-06-27T22:11:12.300919677Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.300 [info] == Migrated 20220525092539 in 0.0s
2025-06-27T22:11:12.302519442Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.302 [info] == Running 20220610084120 Lightning.Repo.Migrations.AddObanJobsTable.up/0 forward
2025-06-27T22:11:12.324293092Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.324 [info] execute "DO $$\nBEGIN\nIF NOT EXISTS (SELECT 1 FROM pg_type\n               WHERE typname = 'oban_job_state'\n                 AND typnamespace = 'public'::regnamespace::oid) THEN\n    CREATE TYPE \"public\".oban_job_state AS ENUM (\n      'available',\n      'scheduled',\n      'executing',\n      'retryable',\n      'completed',\n      'discarded'\n    );\n  END IF;\nEND$$;\n"
2025-06-27T22:11:12.325643699Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.325 [info] create table if not exists public.oban_jobs
2025-06-27T22:11:12.330449337Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.330 [info] create index if not exists public.oban_jobs_queue_index
2025-06-27T22:11:12.333053556Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.332 [info] create index if not exists public.oban_jobs_state_index
2025-06-27T22:11:12.334954852Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.334 [info] create index if not exists public.oban_jobs_scheduled_at_index
2025-06-27T22:11:12.337103099Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.336 [info] execute "CREATE OR REPLACE FUNCTION \"public\".oban_jobs_notify() RETURNS trigger AS $$\nDECLARE\n  channel text;\n  notice json;\nBEGIN\n  IF (TG_OP = 'INSERT') THEN\n    channel = 'public.oban_insert';\n    notice = json_build_object('queue', NEW.queue, 'state', NEW.state);\n\n    -- No point triggering for a job that isn't scheduled to run now\n    IF NEW.scheduled_at IS NOT NULL AND NEW.scheduled_at > now() AT TIME ZONE 'utc' THEN\n      RETURN null;\n    END IF;\n  ELSE\n    channel = 'public.oban_update';\n    notice = json_build_object('queue', NEW.queue, 'new_state', NEW.state, 'old_state', OLD.state);\n  END IF;\n\n  PERFORM pg_notify(channel, notice::text);\n\n  RETURN NULL;\nEND;\n$$ LANGUAGE plpgsql;\n"
2025-06-27T22:11:12.337558867Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.337 [info] execute "DROP TRIGGER IF EXISTS oban_notify ON \"public\".oban_jobs"
2025-06-27T22:11:12.337762163Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.337 [info] execute "CREATE TRIGGER oban_notify\nAFTER INSERT OR UPDATE OF state ON \"public\".oban_jobs\nFOR EACH ROW EXECUTE PROCEDURE \"public\".oban_jobs_notify();\n"
2025-06-27T22:11:12.338120141Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.337 [info] drop index if exists public.oban_jobs_scheduled_at_index
2025-06-27T22:11:12.338428837Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.338 [info] create index public.oban_jobs_scheduled_at_index
2025-06-27T22:11:12.340543657Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.340 [info] create check constraint worker_length on table public.oban_jobs
2025-06-27T22:11:12.341005097Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.340 [info] create check constraint queue_length on table public.oban_jobs
2025-06-27T22:11:12.341293271Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.341 [info] execute "CREATE OR REPLACE FUNCTION \"public\".oban_wrap_id(value bigint) RETURNS int AS $$\nBEGIN\n  RETURN (CASE WHEN value > 2147483647 THEN mod(value, 2147483647) ELSE value END)::int;\nEND;\n$$ LANGUAGE plpgsql IMMUTABLE;\n"
2025-06-27T22:11:12.341599385Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.341 [info] alter table public.oban_jobs
2025-06-27T22:11:12.341870252Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.341 [info] execute "DROP FUNCTION IF EXISTS \"public\".oban_wrap_id(value bigint)"
2025-06-27T22:11:12.342179372Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.342 [info] drop index if exists public.oban_jobs_scheduled_at_index
2025-06-27T22:11:12.342369663Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.342 [info] drop index if exists public.oban_jobs_queue_index
2025-06-27T22:11:12.342528244Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.342 [info] drop index if exists public.oban_jobs_state_index
2025-06-27T22:11:12.342755678Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.342 [info] create index if not exists public.oban_jobs_queue_state_scheduled_at_id_index
2025-06-27T22:11:12.344749293Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.344 [info] create index if not exists public.oban_jobs_attempted_at_id_index
2025-06-27T22:11:12.347052918Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.346 [info] alter table public.oban_jobs
2025-06-27T22:11:12.347362554Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.347 [info] alter table public.oban_jobs
2025-06-27T22:11:12.348255992Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.347 [info] drop index if exists public.oban_jobs_queue_state_scheduled_at_id_index
2025-06-27T22:11:12.348691487Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.348 [info] create index if not exists public.oban_jobs_state_queue_priority_scheduled_at_id_index
2025-06-27T22:11:12.351401520Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.351 [info] execute "CREATE OR REPLACE FUNCTION \"public\".oban_jobs_notify() RETURNS trigger AS $$\nDECLARE\n  channel text;\n  notice json;\nBEGIN\n  IF NEW.state = 'available' THEN\n    channel = 'public.oban_insert';\n    notice = json_build_object('queue', NEW.queue);\n\n    PERFORM pg_notify(channel, notice::text);\n  END IF;\n\n  RETURN NULL;\nEND;\n$$ LANGUAGE plpgsql;\n"
2025-06-27T22:11:12.352029454Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.351 [info] execute "DROP TRIGGER IF EXISTS oban_notify ON \"public\".oban_jobs"
2025-06-27T22:11:12.352159251Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.351 [info] execute "CREATE TRIGGER oban_notify\nAFTER INSERT ON \"public\".oban_jobs\nFOR EACH ROW EXECUTE PROCEDURE \"public\".oban_jobs_notify();\n"
2025-06-27T22:11:12.352533030Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.352 [info] alter table public.oban_jobs
2025-06-27T22:11:12.353149781Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.352 [info] execute "DO $$\nDECLARE\n  version int;\n  already bool;\nBEGIN\n  SELECT current_setting('server_version_num')::int INTO version;\n  SELECT '{cancelled}' <@ enum_range(NULL::\"public\".oban_job_state)::text[] INTO already;\n\n  IF already THEN\n    RETURN;\n  ELSIF version >= 120000 THEN\n    ALTER TYPE \"public\".oban_job_state ADD VALUE IF NOT EXISTS 'cancelled';\n  ELSE\n    ALTER TYPE \"public\".oban_job_state RENAME TO old_oban_job_state;\n\n    CREATE TYPE \"public\".oban_job_state AS ENUM (\n      'available',\n      'scheduled',\n      'executing',\n      'retryable',\n      'completed',\n      'discarded',\n      'cancelled'\n    );\n\n    ALTER TABLE \"public\".oban_jobs RENAME column state TO _state;\n    ALTER TABLE \"public\".oban_jobs ADD state \"public\".oban_job_state NOT NULL default 'available';\n\n    UPDATE \"public\".oban_jobs SET state = _state::text::\"public\".oban_job_state;\n\n    ALTER TABLE \"public\".oban_jobs DROP column _state;\n    DROP TYPE \"public\".old_oban_job_state;\n  END IF;\nEND$$;\n"
2025-06-27T22:11:12.354024951Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.353 [info] create index if not exists public.oban_jobs_state_queue_priority_scheduled_at_id_index
2025-06-27T22:11:12.354321639Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.354 [info] alter table public.oban_jobs
2025-06-27T22:11:12.355602748Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.355 [info] create check constraint priority_range on table public.oban_jobs
2025-06-27T22:11:12.356070575Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.355 [info] create check constraint positive_max_attempts on table public.oban_jobs
2025-06-27T22:11:12.356396359Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.356 [info] create check constraint attempt_range on table public.oban_jobs
2025-06-27T22:11:12.357174061Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.356 [info] drop index if exists public.oban_jobs_args_vector
2025-06-27T22:11:12.357405606Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.357 [info] drop index if exists public.oban_jobs_worker_gist
2025-06-27T22:11:12.357746989Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.357 [info] drop index if exists public.oban_jobs_attempted_at_id_index
2025-06-27T22:11:12.358202025Z openfn_openfn.1.v8qjdf1b9q7w95t1ik0k98y1g@ip-172-31-44-227    | 22:11:12.358 [info] create index if not exists public.oban_jobs_args_index
