site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
115,Chitekesa Health Centre,TX_RTT,Female,65-69 years,2025-08-26 01:24:06.761898+00:00,1,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
138,Dedza District Hospital,TX_RTT,Male,All,2025-08-26 01:24:06.764887+00:00,47,0,0
138,Dedza District Hospital,TX_RTT,Female,30-34 years,2025-08-26 01:24:06.764887+00:00,11,0,0
138,Dedza District Hospital,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.764887+00:00,11,0,0
138,Dedza District Hospital,TX_RTT,Female,55-59 years,2025-08-26 01:24:06.764887+00:00,2,0,0
138,Dedza District Hospital,TX_RTT,Male,45-49 years,2025-08-26 01:24:06.764887+00:00,7,0,0
138,Dedza District Hospital,TX_RTT,Male,65-69 years,2025-08-26 01:24:06.764887+00:00,1,0,0
138,Dedza District Hospital,TX_RTT,Male,20-24 years,2025-08-26 01:24:06.764887+00:00,6,0,0
138,Dedza District Hospital,TX_RTT,Male,50-54 years,2025-08-26 01:24:06.764887+00:00,3,0,0
138,Dedza District Hospital,TX_RTT,FNP,All,2025-08-26 01:24:06.764887+00:00,72,0,0
138,Dedza District Hospital,TX_RTT,Female,1-4 years,2025-08-26 01:24:06.764887+00:00,1,0,0
138,Dedza District Hospital,TX_RTT,Female,50-54 years,2025-08-26 01:24:06.764887+00:00,2,0,0
138,Dedza District Hospital,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.764887+00:00,12,0,0
138,Dedza District Hospital,TX_RTT,Male,55-59 years,2025-08-26 01:24:06.764887+00:00,1,0,0
138,Dedza District Hospital,TX_RTT,Female,40-44 years,2025-08-26 01:24:06.764887+00:00,14,0,0
138,Dedza District Hospital,TX_RTT,Female,35-39 years,2025-08-26 01:24:06.764887+00:00,14,0,0
138,Dedza District Hospital,TX_RTT,Male,25-29 years,2025-08-26 01:24:06.764887+00:00,4,0,0
138,Dedza District Hospital,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.764887+00:00,9,0,0
138,Dedza District Hospital,TX_RTT,Male,30-34 years,2025-08-26 01:24:06.764887+00:00,2,0,0
138,Dedza District Hospital,TX_RTT,Female,5-9 years,2025-08-26 01:24:06.764887+00:00,2,0,0
138,Dedza District Hospital,TX_RTT,Female,20-24 years,2025-08-26 01:24:06.764887+00:00,8,0,0
138,Dedza District Hospital,TX_RTT,Male,1-4 years,2025-08-26 01:24:06.764887+00:00,2,0,0
138,Dedza District Hospital,TX_RTT,Male,15-19 years,2025-08-26 01:24:06.764887+00:00,1,0,0
138,Dedza District Hospital,TX_RTT,Female,45-49 years,2025-08-26 01:24:06.764887+00:00,6,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
16,Bangwe Health Centre,TX_RTT,Female,5-9 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.755807+00:00,4,0,0
16,Bangwe Health Centre,TX_RTT,Female,45-49 years,2025-08-26 01:24:06.755807+00:00,3,0,0
16,Bangwe Health Centre,TX_RTT,Male,5-9 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Male,30-34 years,2025-08-26 01:24:06.755807+00:00,2,0,0
16,Bangwe Health Centre,TX_RTT,Female,40-44 years,2025-08-26 01:24:06.755807+00:00,11,0,0
16,Bangwe Health Centre,TX_RTT,Male,55-59 years,2025-08-26 01:24:06.755807+00:00,3,0,0
16,Bangwe Health Centre,TX_RTT,Male,15-19 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,FNP,All,2025-08-26 01:24:06.755807+00:00,57,0,0
16,Bangwe Health Centre,TX_RTT,Male,25-29 years,2025-08-26 01:24:06.755807+00:00,3,0,0
16,Bangwe Health Centre,TX_RTT,Female,50-54 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Male,60-64 years,2025-08-26 01:24:06.755807+00:00,2,0,0
16,Bangwe Health Centre,TX_RTT,Male,75-79 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Male,20-24 years,2025-08-26 01:24:06.755807+00:00,5,0,0
16,Bangwe Health Centre,TX_RTT,Male,45-49 years,2025-08-26 01:24:06.755807+00:00,6,0,0
16,Bangwe Health Centre,TX_RTT,Male,10-14 years,2025-08-26 01:24:06.755807+00:00,3,0,0
16,Bangwe Health Centre,TX_RTT,Female,35-39 years,2025-08-26 01:24:06.755807+00:00,12,0,0
16,Bangwe Health Centre,TX_RTT,Male,50-54 years,2025-08-26 01:24:06.755807+00:00,5,0,0
16,Bangwe Health Centre,TX_RTT,Male,All,2025-08-26 01:24:06.755807+00:00,47,0,0
16,Bangwe Health Centre,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.755807+00:00,6,0,0
16,Bangwe Health Centre,TX_RTT,Female,70-74 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Female,30-34 years,2025-08-26 01:24:06.755807+00:00,13,0,0
16,Bangwe Health Centre,TX_RTT,Female,15-19 years,2025-08-26 01:24:06.755807+00:00,2,0,0
16,Bangwe Health Centre,TX_RTT,Female,10-14 years,2025-08-26 01:24:06.755807+00:00,2,0,0
16,Bangwe Health Centre,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.755807+00:00,9,0,0
16,Bangwe Health Centre,TX_RTT,Female,1-4 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Female,60-64 years,2025-08-26 01:24:06.755807+00:00,1,0,0
16,Bangwe Health Centre,TX_RTT,Female,20-24 years,2025-08-26 01:24:06.755807+00:00,5,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
193,Jalasi Health Centre,TX_RTT,Male,50-54 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Female,45-49 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Female,35-39 years,2025-08-26 01:24:06.767908+00:00,2,0,0
193,Jalasi Health Centre,TX_RTT,FNP,All,2025-08-26 01:24:06.767908+00:00,14,0,0
193,Jalasi Health Centre,TX_RTT,Male,55-59 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.767908+00:00,2,0,0
193,Jalasi Health Centre,TX_RTT,Male,30-34 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,FBF,All,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Male,5-9 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Female,70-74 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Male,45-49 years,2025-08-26 01:24:06.767908+00:00,2,0,0
193,Jalasi Health Centre,TX_RTT,Male,20-24 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Male,All,2025-08-26 01:24:06.767908+00:00,11,0,0
193,Jalasi Health Centre,TX_RTT,Female,30-34 years,2025-08-26 01:24:06.767908+00:00,3,0,0
193,Jalasi Health Centre,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Male,1-4 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Female,20-24 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Male,15-19 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,Female,50-54 years,2025-08-26 01:24:06.767908+00:00,2,0,0
193,Jalasi Health Centre,TX_RTT,Female,40-44 years,2025-08-26 01:24:06.767908+00:00,3,0,0
193,Jalasi Health Centre,TX_RTT,Female,5-9 years,2025-08-26 01:24:06.767908+00:00,1,0,0
193,Jalasi Health Centre,TX_RTT,FP,All,2025-08-26 01:24:06.767908+00:00,1,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
194,Jenda Health Centre,TX_RTT,Male,5-9 years,2025-08-26 01:24:06.773955+00:00,1,0,0
194,Jenda Health Centre,TX_RTT,FNP,All,2025-08-26 01:24:06.773955+00:00,1,0,0
194,Jenda Health Centre,TX_RTT,Male,All,2025-08-26 01:24:06.773955+00:00,1,0,0
194,Jenda Health Centre,TX_RTT,Female,30-34 years,2025-08-26 01:24:06.773955+00:00,1,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
248,Kasinje Health Centre,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.776876+00:00,3,0,0
248,Kasinje Health Centre,TX_RTT,Male,15-19 years,2025-08-26 01:24:06.776876+00:00,2,0,0
248,Kasinje Health Centre,TX_RTT,Female,50-54 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Male,50-54 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Male,45-49 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Male,5-9 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Male,30-34 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.776876+00:00,4,0,0
248,Kasinje Health Centre,TX_RTT,Female,45-49 years,2025-08-26 01:24:06.776876+00:00,4,0,0
248,Kasinje Health Centre,TX_RTT,Female,20-24 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Male,55-59 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Female,40-44 years,2025-08-26 01:24:06.776876+00:00,2,0,0
248,Kasinje Health Centre,TX_RTT,Female,55-59 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Male,All,2025-08-26 01:24:06.776876+00:00,13,0,0
248,Kasinje Health Centre,TX_RTT,FNP,All,2025-08-26 01:24:06.776876+00:00,19,0,0
248,Kasinje Health Centre,TX_RTT,Male,10-14 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Female,35-39 years,2025-08-26 01:24:06.776876+00:00,1,0,0
248,Kasinje Health Centre,TX_RTT,Female,30-34 years,2025-08-26 01:24:06.776876+00:00,5,0,0
248,Kasinje Health Centre,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.776876+00:00,2,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
303,Liuzi Health Centre,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Female,25-29 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,FNP,All,2025-08-26 01:24:06.779622+00:00,3,0,0
303,Liuzi Health Centre,TX_RTT,Male,55-59 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Male,45-49 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Male,60-64 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Female,45-49 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Female,60-64 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Male,50-54 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Male,35-39 years,2025-08-26 01:24:06.779622+00:00,1,0,0
303,Liuzi Health Centre,TX_RTT,Male,All,2025-08-26 01:24:06.779622+00:00,6,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,Returned <3 mo,Returned 3-5 mo,Returned 6+ mo
359,Mangochi District Hospital,TX_RTT,Female,15-19 years,2025-08-26 01:24:06.785570+00:00,3,0,0
359,Mangochi District Hospital,TX_RTT,Female,40-44 years,2025-08-26 01:24:06.785570+00:00,15,0,0
359,Mangochi District Hospital,TX_RTT,Female,75-79 years,2025-08-26 01:24:06.785570+00:00,1,0,0
359,Mangochi District Hospital,TX_RTT,Male,40-44 years,2025-08-26 01:24:06.785570+00:00,13,0,0
359,Mangochi District Hospital,TX_RTT,FNP,All,2025-08-26 01:24:06.785570+00:00,89,0,0
359,Mangochi District Hospital,TX_RTT,Male,45-49 years,2025-08-26 01:24:06.785570+00:00,13,0,0
359,Mangochi District Hospital,TX_RTT,Female,50-54 years,2025-08-26 01:24:06.785570+00:00,6,0,0
359,Mangochi District Hospital,TX_RTT,Male,30-34 years,2025-08-26 01:24:06.785570+00:00,9,0,0
