site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
115,Chitekesa Health Centre,TX_ML,Female,30-34 years,2025-08-26 01:24:06.854215+00:00,0,0,8,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,50-54 years,2025-08-26 01:24:06.854215+00:00,0,0,2,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,35-39 years,2025-08-26 01:24:06.854215+00:00,0,0,6,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,60-64 years,2025-08-26 01:24:06.854215+00:00,0,0,1,0,0,0
115,Chitekesa Health Centre,TX_ML,FBF,All,2025-08-26 01:24:06.854215+00:00,0,0,8,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,20-24 years,2025-08-26 01:24:06.854215+00:00,0,0,1,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,55-59 years,2025-08-26 01:24:06.854215+00:00,0,0,1,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,15-19 years,2025-08-26 01:24:06.854215+00:00,1,0,5,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.854215+00:00,0,0,15,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,45-49 years,2025-08-26 01:24:06.854215+00:00,0,0,9,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,40-44 years,2025-08-26 01:24:06.854215+00:00,0,0,10,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.854215+00:00,1,0,51,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,10-14 years,2025-08-26 01:24:06.854215+00:00,0,0,2,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,15-19 years,2025-08-26 01:24:06.854215+00:00,0,0,1,0,0,0
115,Chitekesa Health Centre,TX_ML,FP,All,2025-08-26 01:24:06.854215+00:00,1,0,2,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,30-34 years,2025-08-26 01:24:06.854215+00:00,0,0,9,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,25-29 years,2025-08-26 01:24:06.854215+00:00,1,0,6,0,0,0
115,Chitekesa Health Centre,TX_ML,FNP,All,2025-08-26 01:24:06.854215+00:00,0,0,50,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,35-39 years,2025-08-26 01:24:06.854215+00:00,0,0,5,0,0,0
115,Chitekesa Health Centre,TX_ML,Male,10-14 years,2025-08-26 01:24:06.854215+00:00,0,0,1,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,45-49 years,2025-08-26 01:24:06.854215+00:00,0,0,4,0,0,0
115,Chitekesa Health Centre,TX_ML,Female,20-24 years,2025-08-26 01:24:06.854215+00:00,0,0,9,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
138,Dedza District Hospital,TX_ML,Male,30-34 years,2025-08-26 01:24:06.855787+00:00,1,0,21,0,0,0
138,Dedza District Hospital,TX_ML,Male,55-59 years,2025-08-26 01:24:06.855787+00:00,0,0,5,0,0,0
138,Dedza District Hospital,TX_ML,FP,All,2025-08-26 01:24:06.855787+00:00,2,2,5,0,0,0
138,Dedza District Hospital,TX_ML,Male,40-44 years,2025-08-26 01:24:06.855787+00:00,1,0,22,0,0,0
138,Dedza District Hospital,TX_ML,Female,30-34 years,2025-08-26 01:24:06.855787+00:00,1,1,30,0,2,0
138,Dedza District Hospital,TX_ML,Male,35-39 years,2025-08-26 01:24:06.855787+00:00,1,0,24,1,0,0
138,Dedza District Hospital,TX_ML,Male,50-54 years,2025-08-26 01:24:06.855787+00:00,0,1,7,0,0,0
138,Dedza District Hospital,TX_ML,Male,20-24 years,2025-08-26 01:24:06.855787+00:00,3,0,7,0,0,0
138,Dedza District Hospital,TX_ML,Female,60-64 years,2025-08-26 01:24:06.855787+00:00,0,0,3,0,0,0
138,Dedza District Hospital,TX_ML,Female,50-54 years,2025-08-26 01:24:06.855787+00:00,0,1,8,0,1,0
138,Dedza District Hospital,TX_ML,Male,65-69 years,2025-08-26 01:24:06.855787+00:00,0,0,3,0,0,0
138,Dedza District Hospital,TX_ML,Male,1-4 years,2025-08-26 01:24:06.855787+00:00,0,0,0,0,3,0
138,Dedza District Hospital,TX_ML,Female,55-59 years,2025-08-26 01:24:06.855787+00:00,0,0,5,0,1,0
138,Dedza District Hospital,TX_ML,Female,35-39 years,2025-08-26 01:24:06.855787+00:00,1,1,28,0,1,0
138,Dedza District Hospital,TX_ML,FNP,All,2025-08-26 01:24:06.855787+00:00,10,5,156,0,8,0
138,Dedza District Hospital,TX_ML,Male,60-64 years,2025-08-26 01:24:06.855787+00:00,0,0,1,0,0,0
138,Dedza District Hospital,TX_ML,Female,25-29 years,2025-08-26 01:24:06.855787+00:00,5,2,35,0,3,0
138,Dedza District Hospital,TX_ML,Female,45-49 years,2025-08-26 01:24:06.855787+00:00,0,0,14,0,0,0
138,Dedza District Hospital,TX_ML,Female,15-19 years,2025-08-26 01:24:06.855787+00:00,2,1,3,0,1,0
138,Dedza District Hospital,TX_ML,Male,All,2025-08-26 01:24:06.855787+00:00,8,2,104,1,4,0
138,Dedza District Hospital,TX_ML,Male,15-19 years,2025-08-26 01:24:06.855787+00:00,0,0,4,0,0,0
138,Dedza District Hospital,TX_ML,Female,10-14 years,2025-08-26 01:24:06.855787+00:00,0,0,2,0,0,0
138,Dedza District Hospital,TX_ML,Male,25-29 years,2025-08-26 01:24:06.855787+00:00,1,1,7,0,0,0
138,Dedza District Hospital,TX_ML,Male,70-74 years,2025-08-26 01:24:06.855787+00:00,1,0,0,0,0,0
138,Dedza District Hospital,TX_ML,Female,70-74 years,2025-08-26 01:24:06.855787+00:00,0,0,2,0,0,0
138,Dedza District Hospital,TX_ML,FBF,All,2025-08-26 01:24:06.855787+00:00,0,0,11,0,3,0
138,Dedza District Hospital,TX_ML,Female,40-44 years,2025-08-26 01:24:06.855787+00:00,1,0,18,0,2,0
138,Dedza District Hospital,TX_ML,Female,20-24 years,2025-08-26 01:24:06.855787+00:00,2,1,24,0,0,0
138,Dedza District Hospital,TX_ML,Male,45-49 years,2025-08-26 01:24:06.855787+00:00,0,0,3,0,1,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
16,Bangwe Health Centre,TX_ML,Male,5-9 years,2025-08-26 01:24:06.840708+00:00,0,0,3,0,0,0
16,Bangwe Health Centre,TX_ML,Male,10-14 years,2025-08-26 01:24:06.840708+00:00,0,0,4,0,0,0
16,Bangwe Health Centre,TX_ML,Female,60-64 years,2025-08-26 01:24:06.840708+00:00,0,0,7,0,0,0
16,Bangwe Health Centre,TX_ML,Male,60-64 years,2025-08-26 01:24:06.840708+00:00,0,0,9,0,0,0
16,Bangwe Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.840708+00:00,3,1,122,0,0,0
16,Bangwe Health Centre,TX_ML,Male,65-69 years,2025-08-26 01:24:06.840708+00:00,0,0,7,0,0,0
16,Bangwe Health Centre,TX_ML,Male,85-89 years,2025-08-26 01:24:06.840708+00:00,0,0,1,0,0,0
16,Bangwe Health Centre,TX_ML,Female,10-14 years,2025-08-26 01:24:06.840708+00:00,0,0,7,0,0,0
16,Bangwe Health Centre,TX_ML,Male,30-34 years,2025-08-26 01:24:06.840708+00:00,2,0,57,0,0,0
16,Bangwe Health Centre,TX_ML,Male,40-44 years,2025-08-26 01:24:06.840708+00:00,1,0,78,0,0,0
16,Bangwe Health Centre,TX_ML,Male,70-74 years,2025-08-26 01:24:06.840708+00:00,0,0,4,0,0,0
16,Bangwe Health Centre,TX_ML,Male,35-39 years,2025-08-26 01:24:06.840708+00:00,1,1,76,0,0,0
16,Bangwe Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.840708+00:00,8,1,441,0,0,0
16,Bangwe Health Centre,TX_ML,Female,70-74 years,2025-08-26 01:24:06.840708+00:00,0,0,0,1,0,0
16,Bangwe Health Centre,TX_ML,Male,50-54 years,2025-08-26 01:24:06.840708+00:00,0,0,37,0,0,0
16,Bangwe Health Centre,TX_ML,Male,45-49 years,2025-08-26 01:24:06.840708+00:00,1,0,68,0,0,0
16,Bangwe Health Centre,TX_ML,Female,20-24 years,2025-08-26 01:24:06.840708+00:00,4,3,79,0,1,0
16,Bangwe Health Centre,TX_ML,Female,55-59 years,2025-08-26 01:24:06.840708+00:00,0,0,7,0,0,0
16,Bangwe Health Centre,TX_ML,Female,35-39 years,2025-08-26 01:24:06.840708+00:00,1,0,91,1,1,0
16,Bangwe Health Centre,TX_ML,Female,1-4 years,2025-08-26 01:24:06.840708+00:00,0,0,2,0,0,0
16,Bangwe Health Centre,TX_ML,Male,75-79 years,2025-08-26 01:24:06.840708+00:00,0,0,3,0,0,0
16,Bangwe Health Centre,TX_ML,Female,45-49 years,2025-08-26 01:24:06.840708+00:00,0,0,45,0,0,0
16,Bangwe Health Centre,TX_ML,Female,30-34 years,2025-08-26 01:24:06.840708+00:00,3,3,131,0,0,0
16,Bangwe Health Centre,TX_ML,FNP,All,2025-08-26 01:24:06.840708+00:00,10,6,588,2,3,0
16,Bangwe Health Centre,TX_ML,Male,15-19 years,2025-08-26 01:24:06.840708+00:00,0,0,15,0,0,0
16,Bangwe Health Centre,TX_ML,Female,15-19 years,2025-08-26 01:24:06.840708+00:00,2,0,14,0,0,0
16,Bangwe Health Centre,TX_ML,Female,65-69 years,2025-08-26 01:24:06.840708+00:00,0,0,5,0,0,0
16,Bangwe Health Centre,TX_ML,Female,40-44 years,2025-08-26 01:24:06.840708+00:00,1,0,79,0,2,0
16,Bangwe Health Centre,TX_ML,Female,50-54 years,2025-08-26 01:24:06.840708+00:00,0,1,28,0,0,0
16,Bangwe Health Centre,TX_ML,Female,80-84 years,2025-08-26 01:24:06.840708+00:00,0,0,1,0,0,0
16,Bangwe Health Centre,TX_ML,FBF,All,2025-08-26 01:24:06.840708+00:00,0,1,21,0,0,0
16,Bangwe Health Centre,TX_ML,Male,55-59 years,2025-08-26 01:24:06.840708+00:00,0,0,22,0,0,0
16,Bangwe Health Centre,TX_ML,Male,25-29 years,2025-08-26 01:24:06.840708+00:00,3,0,34,0,0,0
16,Bangwe Health Centre,TX_ML,Male,20-24 years,2025-08-26 01:24:06.840708+00:00,0,0,21,0,0,0
16,Bangwe Health Centre,TX_ML,Male,1-4 years,2025-08-26 01:24:06.840708+00:00,0,0,2,0,0,0
16,Bangwe Health Centre,TX_ML,FP,All,2025-08-26 01:24:06.840708+00:00,4,1,11,0,1,0
16,Bangwe Health Centre,TX_ML,Female,5-9 years,2025-08-26 01:24:06.840708+00:00,0,0,2,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
193,Jalasi Health Centre,TX_ML,Male,1-4 years,2025-08-26 01:24:06.857323+00:00,1,0,2,0,0,0
193,Jalasi Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.857323+00:00,3,3,49,0,0,0
193,Jalasi Health Centre,TX_ML,Male,75-79 years,2025-08-26 01:24:06.857323+00:00,0,1,1,0,0,0
193,Jalasi Health Centre,TX_ML,Male,55-59 years,2025-08-26 01:24:06.857323+00:00,0,0,3,0,0,0
193,Jalasi Health Centre,TX_ML,FP,All,2025-08-26 01:24:06.857323+00:00,1,0,4,0,0,0
193,Jalasi Health Centre,TX_ML,Female,1-4 years,2025-08-26 01:24:06.857323+00:00,0,1,1,0,0,0
193,Jalasi Health Centre,TX_ML,FNP,All,2025-08-26 01:24:06.857323+00:00,0,2,76,1,2,0
193,Jalasi Health Centre,TX_ML,Female,70-74 years,2025-08-26 01:24:06.857323+00:00,0,0,3,0,0,0
193,Jalasi Health Centre,TX_ML,FBF,All,2025-08-26 01:24:06.857323+00:00,0,3,15,0,0,0
193,Jalasi Health Centre,TX_ML,Male,40-44 years,2025-08-26 01:24:06.857323+00:00,1,0,5,0,0,0
193,Jalasi Health Centre,TX_ML,Male,50-54 years,2025-08-26 01:24:06.857323+00:00,0,1,6,0,0,0
193,Jalasi Health Centre,TX_ML,Male,45-49 years,2025-08-26 01:24:06.857323+00:00,0,0,7,0,0,0
193,Jalasi Health Centre,TX_ML,Female,50-54 years,2025-08-26 01:24:06.857323+00:00,0,0,4,0,0,0
193,Jalasi Health Centre,TX_ML,Female,40-44 years,2025-08-26 01:24:06.857323+00:00,0,0,13,0,1,0
193,Jalasi Health Centre,TX_ML,Female,35-39 years,2025-08-26 01:24:06.857323+00:00,1,0,16,1,0,0
193,Jalasi Health Centre,TX_ML,Male,5-9 years,2025-08-26 01:24:06.857323+00:00,0,0,3,0,0,0
193,Jalasi Health Centre,TX_ML,Female,10-14 years,2025-08-26 01:24:06.857323+00:00,0,0,1,0,0,0
193,Jalasi Health Centre,TX_ML,Female,20-24 years,2025-08-26 01:24:06.857323+00:00,0,3,8,0,0,0
193,Jalasi Health Centre,TX_ML,Male,25-29 years,2025-08-26 01:24:06.857323+00:00,0,0,2,0,0,0
193,Jalasi Health Centre,TX_ML,Male,35-39 years,2025-08-26 01:24:06.857323+00:00,0,1,11,0,0,0
193,Jalasi Health Centre,TX_ML,Female,25-29 years,2025-08-26 01:24:06.857323+00:00,0,1,17,0,0,0
193,Jalasi Health Centre,TX_ML,Female,15-19 years,2025-08-26 01:24:06.857323+00:00,0,0,7,0,0,0
193,Jalasi Health Centre,TX_ML,Male,20-24 years,2025-08-26 01:24:06.857323+00:00,0,0,1,0,0,0
193,Jalasi Health Centre,TX_ML,Female,5-9 years,2025-08-26 01:24:06.857323+00:00,0,0,1,0,0,0
193,Jalasi Health Centre,TX_ML,Male,15-19 years,2025-08-26 01:24:06.857323+00:00,0,0,2,0,0,0
193,Jalasi Health Centre,TX_ML,Female,30-34 years,2025-08-26 01:24:06.857323+00:00,0,0,14,0,1,0
193,Jalasi Health Centre,TX_ML,Female,60-64 years,2025-08-26 01:24:06.857323+00:00,0,0,3,0,0,0
193,Jalasi Health Centre,TX_ML,Female,45-49 years,2025-08-26 01:24:06.857323+00:00,0,0,7,0,0,0
193,Jalasi Health Centre,TX_ML,Male,60-64 years,2025-08-26 01:24:06.857323+00:00,0,0,3,0,0,0
193,Jalasi Health Centre,TX_ML,Male,30-34 years,2025-08-26 01:24:06.857323+00:00,1,0,3,0,0,0
site_id,facility,indicator,sex,age_group,Date_Submitted,IIT <3 mo,IIT 3-5 mo,IIT 6+ mo,Patient died,Patient transferred out,Treatment stopped
194,Jenda Health Centre,TX_ML,Male,10-14 years,2025-08-26 01:24:06.868631+00:00,0,0,1,0,0,0
194,Jenda Health Centre,TX_ML,Female,40-44 years,2025-08-26 01:24:06.868631+00:00,0,0,1,0,0,0
194,Jenda Health Centre,TX_ML,Female,35-39 years,2025-08-26 01:24:06.868631+00:00,0,0,2,0,2,0
194,Jenda Health Centre,TX_ML,Male,All,2025-08-26 01:24:06.868631+00:00,0,0,4,0,3,0
194,Jenda Health Centre,TX_ML,Male,35-39 years,2025-08-26 01:24:06.868631+00:00,0,0,0,0,1,0
194,Jenda Health Centre,TX_ML,FP,All,2025-08-26 01:24:06.868631+00:00,1,0,0,0,1,0
194,Jenda Health Centre,TX_ML,Male,45-49 years,2025-08-26 01:24:06.868631+00:00,0,0,1,0,0,0
