site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
138,Dedza District Hospital,TX_NEW,Male,20-24 years,2025-08-26 01:24:06.258421+00:00,1,0,5
138,Dedza District Hospital,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.258421+00:00,0,1,6
138,Dedza District Hospital,TX_NEW,Female,<1 years,2025-08-26 01:24:06.258421+00:00,0,0,2
138,Dedza District Hospital,TX_NEW,Female,20-24 years,2025-08-26 01:24:06.258421+00:00,3,3,12
138,Dedza District Hospital,TX_NEW,Male,1-4 years,2025-08-26 01:24:06.258421+00:00,0,0,3
138,Dedza District Hospital,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.258421+00:00,0,0,8
138,Dedza District Hospital,TX_NEW,FBF,All,2025-08-26 01:24:06.258421+00:00,0,1,5
138,Dedza District Hospital,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.258421+00:00,0,0,12
138,Dedza District Hospital,TX_NEW,Female,50-54 years,2025-08-26 01:24:06.258421+00:00,0,0,1
138,Dedza District Hospital,TX_NEW,Female,30-34 years,2025-08-26 01:24:06.258421+00:00,2,0,11
138,Dedza District Hospital,TX_NEW,Female,40-44 years,2025-08-26 01:24:06.258421+00:00,0,3,12
138,Dedza District Hospital,TX_NEW,Male,5-9 years,2025-08-26 01:24:06.258421+00:00,0,0,1
138,Dedza District Hospital,TX_NEW,Female,65-69 years,2025-08-26 01:24:06.258421+00:00,0,0,1
138,Dedza District Hospital,TX_NEW,Male,40-44 years,2025-08-26 01:24:06.258421+00:00,1,0,9
138,Dedza District Hospital,TX_NEW,FP,All,2025-08-26 01:24:06.258421+00:00,1,2,20
138,Dedza District Hospital,TX_NEW,Male,55-59 years,2025-08-26 01:24:06.258421+00:00,0,0,1
138,Dedza District Hospital,TX_NEW,Male,70-74 years,2025-08-26 01:24:06.258421+00:00,0,0,1
138,Dedza District Hospital,TX_NEW,Female,1-4 years,2025-08-26 01:24:06.258421+00:00,0,0,1
138,Dedza District Hospital,TX_NEW,Female,15-19 years,2025-08-26 01:24:06.258421+00:00,0,0,8
138,Dedza District Hospital,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.258421+00:00,1,1,14
138,Dedza District Hospital,TX_NEW,Female,55-59 years,2025-08-26 01:24:06.258421+00:00,0,0,1
site_id,facility,indicator,sex,age_group,Date_Submitted,cd4_less_than_200,cd4_greater_than_equal_to_200,cd4_unknown_or_not_done
16,Bangwe Health Centre,TX_NEW,Male,50-54 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Male,20-24 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,FP,All,2025-08-26 01:24:06.258382+00:00,0,0,11
16,Bangwe Health Centre,TX_NEW,Female,25-29 years,2025-08-26 01:24:06.258382+00:00,0,0,14
16,Bangwe Health Centre,TX_NEW,Male,45-49 years,2025-08-26 01:24:06.258382+00:00,0,0,9
16,Bangwe Health Centre,TX_NEW,Male,35-39 years,2025-08-26 01:24:06.258382+00:00,0,0,5
16,Bangwe Health Centre,TX_NEW,Male,55-59 years,2025-08-26 01:24:06.258382+00:00,0,0,1
16,Bangwe Health Centre,TX_NEW,Female,35-39 years,2025-08-26 01:24:06.258382+00:00,0,0,6
